sample_id,species,population,subspecies,city_region,country,lat,long,western_hemisphere,coverage,relatedness,inbreeding,PC1,PC2,cluster
ECR_32_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,13.7755,Related,0.158047194,-0.052627392,0.033333177,8
ECR_33_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,24.5237,Unrelated,0.04182194,-0.041989794,0.020592829,8
ECR_33_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,17.7378,Related,0.07204027,-0.037350721,0.017733595,8
ECR_33_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.6074,Related,0.106806392,-0.039643273,0.024231322,8
ECR_34_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.5489,Related,0.074270142,-0.042144458,0.027058635,8
ECR_34_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,19.6199,Related,0.072269562,-0.042603617,0.032912962,8
ECR_34_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,22.2204,Unrelated,0.141643876,-0.044615393,0.032544309,8
ECR_35_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,14.4559,Related,0.138551438,-0.047883069,0.024175304,8
ECR_35_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,16.4591,Unrelated,0.081880702,-0.041337694,0.027473412,8
ECR_35_3,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,13.7605,Related,0.114357821,-0.036926912,0.022329766,8
ECR_37_1,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.9525,Related,0.128353963,-0.043248006,0.025958759,8
ECR_37_2,A. mellifera,SoCal,SoCal-Zarate,California,U.S.A,32.895278,-117.086934,Y,15.4156,Related,0.109931975,-0.041197387,0.026568536,8
